"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0007272","GO:0007272","ensheathment of neurons","24/561","140/18800",3.87350874254019e-12,8.0433409038847e-09,7.21491970518407e-09,"ITGB4/POU3F1/EGR2/KLK6/NKX6-2/FA2H/CLDN11/MAG/PLP1/UGT8/MYRF/CD9/PLLP/CXCR4/NCMAP/CNTN2/GAL3ST1/MPZ/MBP/SOX10/ZNF488/PMP22/MAL/ITGAX",24
"GO:0008366","GO:0008366","axon ensheathment","24/561","140/18800",3.87350874254019e-12,8.0433409038847e-09,7.21491970518407e-09,"ITGB4/POU3F1/EGR2/KLK6/NKX6-2/FA2H/CLDN11/MAG/PLP1/UGT8/MYRF/CD9/PLLP/CXCR4/NCMAP/CNTN2/GAL3ST1/MPZ/MBP/SOX10/ZNF488/PMP22/MAL/ITGAX",24
"GO:0042552","GO:0042552","myelination","23/561","138/18800",1.98987690376625e-11,2.75465292711374e-08,2.47093837278202e-08,"ITGB4/POU3F1/EGR2/KLK6/NKX6-2/FA2H/MAG/PLP1/UGT8/MYRF/CD9/PLLP/CXCR4/NCMAP/CNTN2/GAL3ST1/MPZ/MBP/SOX10/ZNF488/PMP22/MAL/ITGAX",23
"GO:0003341","GO:0003341","cilium movement","24/561","187/18800",1.88808514579905e-09,1.60765724077141e-06,1.44207712245809e-06,"DNAAF6/HOATZ/TEKT4/DNAI3/TEKT1/CFAP45/DNAI2/CATSPERD/SPAG17/ODAD1/SPAG6/DNAH11/NME8/TTC29/RSPH4A/DNAH17/CFAP65/ZMYND10/DRC7/CFAP73/ROPN1L/CFAP47/CFAP53/DNAH9",24
"GO:0010001","GO:0010001","glial cell differentiation","26/561","218/18800",1.97338919505417e-09,1.60765724077141e-06,1.44207712245809e-06,"IL1B/ITGB4/GFAP/MIR142/POU3F1/EGR2/NKX6-2/DAAM2/SLC45A3/FA2H/MAG/PLP1/MYRF/TP73/CXCR4/CNP/ERBB3/NCMAP/CNTN2/SOX10/ZNF488/C5AR1/BOK/SOX8/MAL/OPALIN",26
"GO:0048709","GO:0048709","oligodendrocyte differentiation","17/561","94/18800",2.32264470133119e-09,1.60765724077141e-06,1.44207712245809e-06,"NKX6-2/DAAM2/SLC45A3/FA2H/MAG/PLP1/MYRF/TP73/CXCR4/CNP/CNTN2/SOX10/ZNF488/BOK/SOX8/MAL/OPALIN",17
"GO:0042063","GO:0042063","gliogenesis","30/561","291/18800",3.79063075206592e-09,2.24892707333282e-06,2.01729958369343e-06,"IL1B/ITGB4/GFAP/MIR142/POU3F1/EGR2/CCL2/NKX6-2/DAAM2/SLC45A3/FA2H/MAG/LRP2/PLP1/MYRF/GJC2/CD9/TP73/CXCR4/CNP/ERBB3/NCMAP/CNTN2/SOX10/ZNF488/C5AR1/BOK/SOX8/MAL/OPALIN",30
"GO:0035082","GO:0035082","axoneme assembly","16/561","87/18800",5.3376120336981e-09,2.77088784699353e-06,2.48550118253389e-06,"DNAAF6/HOATZ/DNAAF3/DNAI3/DNAI2/FOXJ1/SPAG17/ODAD1/SPAG6/RSPH4A/DNAH17/CFAP65/ZMYND10/DRC7/CFAP73/CFAP47",16
"GO:0007422","GO:0007422","peripheral nervous system development","15/561","78/18800",8.48169051165705e-09,3.9138289661013e-06,3.51072546441571e-06,"NEUROG3/ITGB4/POU3F1/EGR2/HAPLN2/NHLH2/FA2H/UGT8/POU4F1/ERBB3/NCMAP/SOX10/PMP22/SOX8/RUNX3",15
"GO:0014015","GO:0014015","positive regulation of gliogenesis","13/561","64/18800",4.21983843404381e-08,1.75249890165839e-05,1.57200086506116e-05,"IL1B/GFAP/MIR142/EGR2/NKX6-2/MAG/LRP2/GJC2/TP73/CXCR4/SOX10/ZNF488/SOX8",13
